Bejaia Region ForestFire Datase,,,,,,,,,,,,,
day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
21,7,2012,33,70,17,0,854,185,715,52,224,88,fire   
22,7,2012,28,79,18,1,734,164,799,18,217,28,not fire   
23,7,2012,27,66,22,4,682,105,713,18,154,21,not fire   
24,7,2012,28,78,16,1,70,96,797,14,147,13,not fire   
25,7,2012,31,65,18,0,843,125,887,48,185,73,fire   
26,7,2012,36,53,19,0,892,171,986,10,239,153,fire   
27,7,2012,36,48,13,0,903,222,1085,87,294,153,fire   
28,7,2012,33,76,15,0,865,244,1178,56,321,113,fire   
29,7,2012,32,73,15,0,866,267,127,56,35,119,fire   
30,7,2012,31,79,15,0,854,285,136,47,374,107,fire   
31,7,2012,35,64,17,0,872,319,1457,68,412,157,fire   
1,8,2012,36,45,14,0,788,48,102,2,47,9,not fire   
2,8,2012,35,55,12,4,78,58,10,17,55,8,not fire   
3,8,2012,35,63,14,3,766,57,10,17,55,8,not fire   
4,8,2012,34,69,13,0,85,82,198,4,82,39,fire   
5,8,2012,34,65,13,0,868,111,297,52,115,61,fire   
6,8,2012,32,75,14,0,864,13,391,52,142,68,fire   
7,8,2012,32,69,16,0,865,155,486,55,172,8,fire   
8,8,2012,32,60,18,3,771,113,47,22,141,26,not fire   
9,8,2012,35,59,17,0,874,148,57,69,179,99,fire   
10,8,2012,35,55,14,0,889,186,67,74,219,116,fire   
11,8,2012,35,63,13,0,889,217,77,71,255,121,fire   
12,8,2012,35,51,13,3,813,156,751,25,207,42,not fire   
13,8,2012,35,63,15,0,87,19,851,59,244,102,fire   
14,8,2012,33,66,14,0,87,217,947,57,272,106,fire   
15,8,2012,36,55,13,3,824,156,925,37,22,63,fire   
16,8,2012,36,61,18,3,802,117,904,28,176,42,fire   
17,8,2012,37,52,18,0,893,16,1007,97,229,146,fire   
18,8,2012,36,54,18,0,894,20,1109,97,275,161,fire   
19,8,2012,35,62,19,0,894,232,1209,97,313,172,fire   
20,8,2012,35,68,19,0,883,259,1306,88,347,168,fire   
21,8,2012,36,58,19,0,886,296,1411,92,388,184,fire   
22,8,2012,36,55,18,0,891,335,1513,99,431,204,fire   
23,8,2012,36,53,16,0,895,376,1615,104,475,223,fire
24,8,2012,34,64,14,0,889,405,1713,9,509,209,fire   
25,8,2012,35,60,15,0,889,439,1813,82,547,203,fire
26,8,2012,31,78,18,0,858,456,1906,47,571,137,fire 
27,8,2012,33,82,21,0,849,47,2002,44,593,132,fire
28,8,2012,34,64,16,0,894,502,2104,73,629,199,fire 
29,8,2012,35,48,18,0,901,542,2204,125,674,302,fire   
30,8,2012,35,70,17,8,727,252,1804,17,374,42,not fire   
31,8,2012,28,80,21,168,525,87,87,6,83,3,not fire
1,9,2012,25,76,17,72,46,13,75,2,18,1,not fire 
2,9,2012,22,86,15,101,305,7,7,0,11,0,not fire
3,9,2012,25,78,15,38,426,12,75,1,17,0,not fire   
4,9,2012,29,73,17,1,684,19,157,14,29,5,not fire   
5,9,2012,29,75,16,0,808,34,24,28,51,17,fire   
6,9,2012,29,74,19,1,758,36,322,21,56,9,not fire   
7,9,2012,31,71,17,3,696,32,301,15,51,6,not fire   
8,9,2012,30,73,17,9,62,26,84,11,3,4,not fire   
9,9,2012,30,77,15,1,561,21,84,7,26,2,not fire   
10,9,2012,33,73,12,18,599,22,89,7,27,3,not fire   
11,9,2012,30,77,21,18,585,19,84,11,24,3,not fire   
12,9,2012,29,88,13,0,71,26,166,12,37,5,not fire   
13,9,2012,25,86,21,46,409,13,75,1,18,0,not fire   
14,9,2012,22,76,26,83,474,11,7,4,16,1,not fire   
15,9,2012,24,82,15,4,449,9,73,2,14,0,not fire   
16,9,2012,30,65,14,0,781,32,157,19,42,8,not fire   
17,9,2012,31,52,14,0,877,64,243,62,77,59,fire   
18,9,2012,32,49,11,0,894,98,331,68,113,77,fire   
19,9,2012,29,57,14,0,893,125,413,78,142,97,fire   
20,9,2012,28,84,18,0,838,135,493,45,16,63,fire
21,9,2012,31,55,11,0,878,165,579,54,192,83,fire   
22,9,2012,31,50,19,6,778,106,414,24,129,28,not fire   
23,9,2012,32,54,11,5,737,79,304,12,96,7,not fire   
24,9,2012,29,65,19,6,683,55,152,15,58,7,not fire   
25,9,2012,26,81,21,58,486,3,77,4,3,1,not fire   
26,9,2012,31,54,11,0,82,6,163,25,62,17,not fire   
27,9,2012,31,66,11,0,857,83,249,4,9,41,fire   
28,9,2012,32,47,14,7,775,71,88,18,68,9,not fire   
29,9,2012,26,80,16,18,474,29,77,3,3,1,not fire   
30,9,2012,25,78,14,14,45,19,75,2,24,1,not fire   
Sidi-Bel Abbes Region ForestFir,,,,,,,,,,,,,
day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
1,6,2012,32,71,12,7,571,25,8.2,6,28,0.2,not fire   
2,6,2012,30,73,13,4,557,27,7.8,6,29,0.2,not fire   
3,6,2012,29,80,14,2,487,22,7.6,3,26,0.1,not fire   
4,6,2012,30,64,14,0,794,52,15.4,22,56,1,not fire   
5,6,2012,32,60,14,2,771,6,17.6,18,65,0.9,not fire   
6,6,2012,35,54,11,1,837,84,26.3,31,93,3.1,fire   
7,6,2012,35,44,17,2,856,99,28.9,54,107,6,fire   
8,6,2012,28,51,17,13,714,77,7.4,15,73,0.8,not fire   
9,6,2012,27,59,18,1,781,85,14.7,24,83,1.9,not fire   
10,6,2012,30,41,15,0,894,133,22.5,84,131,10,fire   
11,6,2012,31,42,21,0,906,182,30.5,134,18,16.7,fire   
12,6,2012,27,58,17,0,889,213,37.8,87,212,12.9,fire   
13,6,2012,30,52,15,2,723,114,7.8,14,109,0.9,not fire   
14,6,2012,27,79,16,7,534,64,7.3,5,61,0.3,not fire   
15,6,2012,28,90,15,0,668,72,14.7,12,71,0.6,not fire   
16,6,2012,29,87,15,4,474,42,8,2,41,0.1,not fire   
17,6,2012,31,69,17,47,622,39,8,11,38,0.4,not fire   
18,6,2012,33,62,10,87,655,46,8.3,9,44,0.4,not fire   
19,6,2012,32,67,14,45,646,44,8.2,1,42,0.4,not fire   
20,6,2012,31,72,14,2,602,38,8,8,37,0.3,not fire   
21,6,2012,32,55,14,0,862,83,18.4,5,82,4.9,fire   
22,6,2012,33,46,14,11,783,81,8.3,19,77,1.2,not fire   
23,6,2012,33,59,16,8,742,7,8.3,16,67,0.8,not fire   
24,6,2012,35,68,16,0,853,10,17,49,99,5.3,fire   
25,6,2012,34,70,16,0,86,128,25.6,54,127,6.7,fire   
26,6,2012,36,62,16,0,878,165,34.5,7,164,9.5,fire   
27,6,2012,36,55,15,0,891,209,43.3,8,208,12,fire   
28,6,2012,37,37,13,0,925,272,52.4,117,271,18.4,fire   
29,6,2012,37,36,13,6,862,179,36.7,48,178,7.2,fire   
30,6,2012,34,42,15,17,797,12,8.5,22,115,2.2,not fire     
1,7,2012,28,58,18,22,637,32,8.5,12,33,0.5,not fire   
2,7,2012,33,48,16,0,876,79,17.8,68,78,6.4,fire   
3,7,2012,34,56,17,1,847,97,27.3,47,103,5.2,fire   
4,7,2012,34,58,18,0,88,136,36.8,8,141,9.9,fire   
5,7,2012,34,45,18,0,905,187,46.4,113,187,15,fire   
6,7,2012,35,42,15,3,847,155,45.1,43,167,6.3,fire   
7,7,2012,38,43,13,5,85,13,35.4,41,137,5.2,fire   
8,7,2012,35,47,18,6,808,98,9.7,31,94,3,fire   
9,7,2012,36,43,15,19,823,94,9.9,32,9,3.1,fire   
10,7,2012,34,51,16,38,775,8,9.5,2,77,1.3,not fire   
11,7,2012,34,56,15,29,748,71,9.5,16,68,0.8,not fire   
12,7,2012,36,44,13,0,901,126,19.4,83,125,9.6,fire   
13,7,2012,39,45,13,6,852,113,10.4,42,109,4.7,fire   
14,7,2012,37,37,18,2,889,129,14.6 9,125,104,fire   ,
15,7,2012,34,45,17,0,905,18,24.1,109,177,14.1,fire   
16,7,2012,31,83,17,0,845,194,33.1,47,192,7.3,fire   
17,7,2012,32,81,17,0,846,211,42.3,47,209,7.7,fire   
18,7,2012,33,68,15,0,861,239,51.6,52,239,9.1,fire   
19,7,2012,34,58,16,0,881,278,61.1,73,277,13,fire   
20,7,2012,36,50,16,0,899,327,71,95,326,17.3,fire   
21,7,2012,36,29,18,0,939,396,80.6,185,395,30,fire   
22,7,2012,32,48,18,0,915,442,90.1,132,44,25.4,fire   
23,7,2012,31,71,17,0,873,466,99,69,465,16.3,fire   
24,7,2012,33,63,17,11,728,209,56.6,16,217,2.5,not fire   
25,7,2012,39,64,9,12,738,117,15.9,11,114,0.7,not fire   
26,7,2012,35,58,10,2,783,108,19.7,16,107,1,not fire   
27,7,2012,29,87,18,0,80,118,28.3,28,118,3.2,not fire   
28,7,2012,33,57,16,0,875,157,37.6,67,157,9,fire   
29,7,2012,34,59,16,0,881,195,47.2,74,195,10.9,fire   
30,7,2012,36,56,16,0,889,238,57.1,82,238,13.2,fire   
31,7,2012,37,55,15,0,893,283,67.2,83,283,14.5,fire   
1,8,2012,38,52,14,0,783,44,10.5,2,44,0.8,not fire   
2,8,2012,40,34,14,0,933,108,21.4,138,106,13.5,fire   
3,8,2012,39,33,17,0,937,171,32.1,172,169,19.5,fire   
4,8,2012,38,35,15,0,938,23,42.7,157,229,20.9,fire   
5,8,2012,34,42,17,1,883,236,52.5,19,235,12.6,fire   
6,8,2012,30,54,14,31,705,11,9.1,13,105,0.8,not fire   
7,8,2012,34,63,13,29,697,72,9.8,12,69,0.6,not fire   
8,8,2012,37,56,11,0,874,112,20.2,52,11,5.9,fire   
9,8,2012,39,43,12,0,917,165,30.9,96,164,12.7,fire   
10,8,2012,39,39,15,2,893,158,35.4,82,158,10.7,fire   
11,8,2012,40,31,15,0,942,225,46.3,166,224,21.6,fire   
12,8,2012,39,21,17,4,93,184,41.5,155,184,18.8,fire   
13,8,2012,35,34,16,2,883,169,45.1,75,175,10.5,fire   
14,8,2012,37,40,13,0,919,223,55.5,108,223,15.7,fire   
15,8,2012,35,46,13,3,839,169,54.2,35,19,5.5,fire   
16,8,2012,40,41,10,1,92,226,65.1,95,242,14.8,fire   
17,8,2012,42,24,9,0,96,303,76.4,157,304,24,fire   
18,8,2012,37,37,14,0,943,359,86.8,16,359,26.3,fire   
19,8,2012,35,66,15,1,827,327,96.8,33,355,7.7,fire   
20,8,2012,36,81,15,0,837,344,107,38,381,9,fire   
21,8,2012,36,71,15,0,86,369,117.1,51,413,12.2,fire   
22,8,2012,37,53,14,0,895,411,127.5,8,455,18.1,fire   
23,8,2012,36,43,16,0,912,461,137.7,115,502,24.5,fire   
24,8,2012,35,38,15,0,921,513,147.7,122,549,26.9,fire   
25,8,2012,34,40,18,0,921,563,157.5,143,595,31.1,fire   
26,8,2012,33,37,16,0,922,613,167.2,131,64,30.3,fire   
27,8,2012,36,54,14,0,91,659,177.3,10,68,26.1,fire   
28,8,2012,35,56,14,4,792,37,166,21,306,6.1,not fire   
29,8,2012,35,53,17,5,802,207,149.2,27,306,5.9,fire   
30,8,2012,34,49,15,0,892,248,159.1,81,357,16,fire   
31,8,2012,30,59,19,0,891,278,168.2,98,393,19.4,fire   
1,9,2012,29,86,16,0,379,9,8.2,1,14,0,not fire   
2,9,2012,28,67,19,0,754,29,16.3,2,4,0.8,not fire   
3,9,2012,28,75,16,0,822,44,24.3,33,6,2.5,fire   
4,9,2012,30,66,15,2,735,41,26.6,15,6,0.7,not fire   
5,9,2012,30,58,12,41,661,4,8.4,1,39,0.4,not fire   
6,9,2012,34,71,14,65,645,33,9.1,1,35,0.4,not fire   
7,9,2012,31,62,15,0,833,58,17.7,38,64,3.2,fire   
8,9,2012,30,88,14,0,825,66,26.1,3,81,2.7,fire   
9,9,2012,30,80,15,0,831,79,34.5,35,10,3.7,fire   
10,9,2012,29,74,15,11,595,47,8.2,8,46,0.3,not fire   
11,9,2012,30,73,14,0,792,65,16.6,21,66,1.2,not fire   
12,9,2012,31,72,14,0,842,83,25.2,38,91,3.9,fire   
13,9,2012,29,49,19,0,886,115,33.4,91,124,10.3,fire   
14,9,2012,28,81,15,0,846,126,41.5,43,143,5.7,fire   
15,9,2012,32,51,13,0,887,16,50.2,69,178,9.8,fire   
16,9,2012,33,26,13,0,939,212,59.2,142,224,19.3,fire   
17,9,2012,34,44,12,0,925,252,63.3,112,262,17.5,fire   
18,9,2012,36,33,13,1,906,258,77.8,9,282,15.4,fire   
19,9,2012,29,41,8,1,839,249,86,27,289,5.6,fire   
20,9,2012,34,58,13,2,795,187,88,21,244,3.8,not fire   
21,9,2012,35,34,17,0,922,236,97.3,138,294,21.6,fire   
22,9,2012,33,64,13,0,889,261,106.3,71,324,13.7,fire   
23,9,2012,35,56,14,0,89,294,115.6,75,36,15.2,fire   
24,9,2012,26,49,6,2,613,119,28.1,6,119,0.4,not fire   
25,9,2012,28,70,15,0,799,138,36.1,24,141,3,not fire   
26,9,2012,30,65,14,0,854,16,44.5,45,169,6.5,fire   
27,9,2012,28,87,15,44,411,65,8,1,62,0,not fire   
28,9,2012,27,87,29,5,459,35,7.9,4,34,0.2,not fire   
29,9,2012,24,54,18,1,797,43,15.2,17,51,0.7,not fire   
30,9,2012,24,64,15,2,673,38,16.5,12,48,0.5,not fire    
